feature,gain
U-P_R_FollowS,0.19410236
U-HA-R_repostsS,0.02684984
U-HM_R_irony,0.024281144
U-HA_R_AverageInterval,0.01830341
U-HA_S_RetweetedRate,0.014397546
U-HM_R_hs_aggressive,0.00995469
U-HM_R_sports,0.008481989
U-HM_R_DaleChallIndex,0.008410959
U-HA_R_RetweetPercent,0.008043579
U-HA_S_LikedRate,0.0077084233
M-topic_overall,0.007443311
U-HM_S_FleschReadingEase,0.007379801
U-HM_R_arts_&_culture,0.0070329397
U-HM_R_Coleman-Liau,0.007009072
U-HM_R_emo_disgust,0.006773459
U-HA_R_RepliedRate,0.0065300325
U-HM_R_neg,0.0064130086
U-HM_S_topic_overall,0.0064086933
U-HM_R_emoji,0.006373652
U-HM_R_GunningFogIndex,0.0062831617
U-HM_R_complex_words,0.0062638363
U-HM_R_hs_count,0.005901271
U-HM_R_word_count,0.0057794326
U-HM_S_complex_words_dc,0.005473939
U-HA_S_RepliedRate,0.005327657
U-HM_S_emo_anger,0.0053186067
U-P_S_FollowerNum,0.0052817427
U-HM_R_gaming,0.0052314037
M-single_business_&_entrepreneurs,0.005222768
U-HM_S_emo_disgust,0.0051312824
U-HA_S_AverageInterval,0.005088644
U-HM_R_music,0.0050796983
U-HM_S_word_count,0.0050779185
U-HM_S_learning_&_educational,0.0050050747
U-P_S_FollowerNumDay,0.005001504
U-HM_R_pos,0.0049225204
U-HM_R_hs_hateful,0.0049146377
U-HM_R_single_arts_&_culture,0.004809072
U-HM_S_single_daily_life,0.00475827
U-HM_S_relationships,0.004739106
U-HM_R_learning_&_educational,0.00471224
U-HM_S_other_hobbies,0.0045344587
U-HM_S_news_&_social_concern,0.0044370764
U-HM_R_single_daily_life,0.0044289674
M-word_count,0.004394876
U-HM_R_RIX,0.0043558516
U-HM_R_single_topic_overall,0.0043550385
M-sports,0.0043413844
M-GunningFogIndex,0.0043206103
U-HM_R_film_tv_&_video,0.004314271
U-HM_R_emo_fear,0.0042982646
U-HM_S_irony,0.004237484
U-HM_R_emo_others,0.0042199185
U-HM_R_celebrity_&_pop_culture,0.00417512
U-HM_S_hs_count,0.004160153
U-HM_S_hs_hateful,0.0040514083
U-HM_R_emo_sadness,0.0040512416
U-P_R_TweetNum,0.004038548
U-HM_R_other_hobbies,0.004014921
U-HM_S_fitness_&_health,0.003994191
U-HA_R_RetweetedRate,0.0039849253
U-HA_S_QuotedRate,0.0039696754
U-HM_R_single_sports_&_gaming,0.003938258
U-P_SR_followersDiff,0.0039347094
M-Coleman-Liau,0.0039314413
U-HM_R_travel_&_adventure,0.0038748612
U-HM_S_topic_count,0.0038410975
U-HM_S_celebrity_&_pop_culture,0.003805499
U-HM_S_youth_&_student_life,0.003781577
U-HM_R_topic_count,0.0037812863
U-HM_S_text_len,0.0037267061
U-HM_S_sports,0.0036870297
U-P_R_FollowerNum,0.003679798
U-HM_R_science_&_technology,0.0036098268
U-HM_S_emo_joy,0.0035891447
U-HM_S_film_tv_&_video,0.0035861633
U-HM_R_text_len,0.0035759376
U-HM_S_business_&_entrepreneurs,0.0035756363
M-film_tv_&_video,0.0035741385
U-HM_S_hs_targeted,0.0035692302
M-travel_&_adventure,0.0035443697
M-DaleChallIndex,0.0035209977
U-HM_S_single_pop_culture,0.0034924299
U-HA_R_LikedRate,0.003486994
U-HM_R_complex_words_dc,0.0034719734
U-HM_R_food_&_dining,0.0034136688
U-HM_S_fashion_&_style,0.0034088725
U-HM_S_compound,0.0034021821
